Table
,,,,% ,Variación ,,,% Variación 
,4T20 ,3T20 ,4T19 ,TaT ,AaA ,12M20 ,12M19 ,AaA 
Comercial ,"1,062 ",829 ,"1,705 ",28.1 ,(37.7) ,"5,824 ","5,258 ",10.8 
Consumo ,"2,742 ","3,462 ","3,010 ",(20.8) ,(8.9) ,"13,277 ","12,079 ",9.9 
Hipotecario ,(652) ,305 ,147 ,- ,- ,"2,162 ",775 ,- 
Total ,"3,152 ","4,596 ","4,862 ",(31.4) ,(35.2) ,"21,263 ","18,112 ",17.4 


Table
,,,,Variación ,(pb) ,,,Variación (pb) 
,4T20 ,3T20 ,4T19 ,TaT ,AaA ,12M20 ,12M19 ,AaA 
Comercial ,1.27 ,1.39 ,1.20 ,(12) ,7 ,1.27 ,1.20 ,7 
Consumo ,11.55 ,11.76 ,10.57 ,(21) ,98 ,11.55 ,10.57 ,98 
Hipotecario ,1.35 ,1.90 ,0.53 ,(55) ,82 ,1.35 ,0.53 ,82 
Total ,2.89 ,3.13 ,2.60 ,(24) ,29 ,2.89¹ ,2.60 ,29 


