Table
Las inversiones en valores se integran de la siguiente manera: ,Valor Contable 
Títulos para negociar: ,
Valores bancarios ,"8,601 "
Valores gubernamentales ,"197,577 "
Acciones ,"1,911 "
,"208,089 "
Títulos disponibles para la venta: ,
Valores gubernamentales ,"354,052 "
Valores privados ,"1,273 "
Acciones ,714 
,"356,039 "
Títulos conservados a vencimiento: ,
Valores gubernamentales ,"7,784 "
Cetes Especiales ,"3,503 "
,"11,287 "
Total ,"575,415 "


Table
La cartera de reporto se integra como sigue: ,
,Saldo neto de reportos 
Saldos deudores ,
Valores bancarios ,"1,821 "
Valores gubernamentales ,"60,473 "
Total ,"62,294 "
Saldos acreedores ,
Valores bancarios ,"4,449 "
Valores gubernamentales ,"330,721 "
Valores privados ,259 
Total ,"335,429 "
,"(273,135) "


