Table
Pesos ,,Otras Divisas ,,
Sens. a 1 pb ,(4.03) ,,3.11 ,
Vega por factor de Riesgo EQ ,,FX ,,IR 
Total ,0.01 ,,0.61 ,(1.25) 
Delta por factor de Riesgo (EQ y FX) EQ ,,FX ,,
Total ,(0.01) ,,3.77 ,


