Table
Cuentas de riesgo propias ,"5,107,809 "
Activos y Pasivos Contingentes ,805 
Compromisos Crediticios ,"638,851 "
Bienes en fideicomiso O mandato ,"430,106 "
Mandatos ,223 
Fideicomisos ,"429,883 "
Bienes en custodia O en administración ,"203,467 "
Colaterales recibidos por la entidad ,"131,586 "
Colaterales recibidos y vendidos O entregados en gtía. por la entidad ,"106,972 "
Intereses devengados no cobrados derivados de cartera de crédito vda. ,"3,524 "
Otras cuentas de registro ,"3,592,498 "
,
Totales por cuenta propia ,"5,107,809 "
Acciones entregadas en custodia (unidades) ,"15,854,682,820 "


Table
Clientes cuentas corrientes ,62 
Bancos de clientes ,41 
Liquidación de operaciones de clientes ,21 
Premios de clientes ,O 
Valores de clientes ,"1,512,317 "
Valores y documentos recibidos en garantía ,O 
Valores de clientes recibidos en custodia ,"1,512,317 "
Operaciones por cuenta de clientes ,130 
Operaciones de reporto de clientes ,65 
Colaterales recibidos en garantía por cuenta de clientes ,65 
Operaciones de préstamos de valores de clientes ,O 
Operaciones de banca de inversión por cuenta de terceros (neto) ,"1,604,841 "
Totales por cuenta de terceros ,"3,117,350 "


