Table
Tipo de Activo (Millones de pesos) ,1T21 ,2T21 ,Var vs. 1T21 
Total ,"166,523 ","153,518 ",(7.8%) 
Nivel I ,"158,497 ","145,338 ",(8.3%) 
Nivel Il ,"8,026 ","8,180 ",1.9% 
Nivel II A ,"4,111 ","4,244 ",3.2% 
Nivel Il B ,"3,915 ","3,935 ",0.5% 


Table
Componente CCL (Millones de pesos) ,1T21 ,2T21 ,Var vs. 1T21 
Activos Líquidos ,"166,523 ","153,518 ",(7.8%) 
Entradas de Efectivo ,"58,175 ","62,352 ",7.2% 
Salidas de Efectivo ,"144,746 ","135,532 ",(6.4%) 


