Table
,
1. ,"OBJETIVOS, ALCANCE Y FUNCIONES DE ADMINISTRACIÓN DE RIESGOS 3 "
2. ,RIESGO CRÉDITO 5 
3. ,RIESGO MERCADO (Banco y Casa de Bolsa) 20 
4. ,RIESGO DE BALANCE Y LIOUIDEZ 24 
5. ,RIESGO OPERACIONAL 30 
6. ,BURSATILIZACIONES REALIZADAS POR GFNORTE 32 
7. ,POSICIÓN EN ACCIONES 34 


