Table
"Consejeros Serie ""F"" Independientes ",
Laura Renne Diez Barroso Azcárraga Cesar Augusto Montemayor Zambrano Bárbara Garza Lagüera Gonda Juan Ignacio Gallardo Thurlow Guillermo Jorge Quiroz Abed Eduardo Carredano Fernández ,Presidenta Consejero Propietario Consejero Propietario Consejero Suplente Consejero Suplente Consejero Suplente 
"Consejeros Serie ""F"" No Independientes ",
Héctor Blas Grisi Checa Magdalena Sofía Salarich Fernández de Valderrama ,Consejero Propietario Consejero Propietario 
Francisco Javier García-Carranza Benjumea Ángel Rivera Congosto ,Consejero Propietario Consejero Suplente 
Didier Mena Campos ,Consejero Suplente 
Rodrigo Brand de Lara ,Consejero Suplente 
"Consejeros Serie ""B"" Independientes ",
Antonio Purón Mier y Terán Fernando Benjamín Ruíz Sahagún ,Consejero Propietario Consejero Propietario 


