Table
Ticker ,Nombre ,Ticker ,Nombre ,Ticker ,Nombre 
LYB UN Equity ,LyondellBasell Industries NV ,MU UW Equity ,Micron Technology Inc ,DVA UN Equity ,DaVita Inc 
AXP UN Equity ,American Express Co ,MSI UN Equity ,Motorola Solutions Inc ,HIG UN Equity ,Hartford Financial Services Group Inc/Th 
VZ UN Equity ,Verizon Communications Inc ,CBOE UF Equity ,Cboe Global Markets Inc ,IRM UN Equity ,Iron Mountain Inc 
AVGO UW Equity ,Broadcom Inc ,MYL UW Equity ,Mylan NV ,EL UN Equity ,Estee Lauder Cos Inc/The 
BA UN Equity ,Boeing Co/The ,LH UN Equity ,Laboratory Corp of America Holdings ,CDNS UW Equity ,Cadence Design Systems Inc 
CAT UN Equity ,Caterpillar Inc ,NEM UN Equity ,Newmont Goldcorp Corp ,UHS UN Equity ,Universal Health Services Inc 
JPM UN Equity ,JPMorgan Chase & Co ,NKE UN Equity ,NIKE Inc ,ETFC UW Equity ,E*TRADE Financial Corp 
CVX UN Equity ,Chevron Corp ,NI UN Equity ,NiSource Inc ,SWKS UW Equity ,Skyworks Solutions Inc 
KO UN Equity ,Coca-Cola Co/The ,NBL UN Equity ,Noble Energy Inc ,NOV UN Equity ,National Oilwell Varco Inc 
ABBV UN Equity ,AbbVie Inc ,NSC UN Equity ,Norfolk Southern Corp ,DGX UN Equity ,Quest Diagnostics Inc 
DIS UN Equity ,Walt Disney Co/The ,PFG UW Equity ,Principal Financial Group Inc ,ATVI UW Equity ,Activision Blizzard Inc 
FLT UN Equity ,FleetCor Technologies Inc ,ES UN Equity ,Eversource Energy ,ROK UN Equity ,Rockwell Automation Inc 
EXR UN Equity ,Extra Space Storage Inc ,NOC UN Equity ,Northrop Grumman Corp ,KHC UW Equity ,Kraft Heinz Co/The 
XOM UN Equity ,Exxon Mobil Corp ,WFC UN Equity ,Wells Fargo & Co ,AMT UN Equity ,American Tower Corp 
PSX UN Equity ,Phillips 66 ,NUE UN Equity ,Nucor Corp ,HFC UN Equity ,HollyFrontier Corp Regeneron 
GE UN Equity ,General Electric Co ,PVH UN Equity ,PVH Corp ,REGN UW Equity ,Pharmaceuticals Inc 
HPQ UN Equity ,HP Inc ,OXY UN Equity ,Occidental Petroleum Corp ,AMZN UW Equity ,Amazon.com Inc 


