Table
,2T19 ,3T19 ,4T19 ,1T20 ,2T20 
Cartera de crédito ,59.9 ,59.9 ,56.3 ,58.2 ,53.9 
Inversiones en valores ,21.1 ,22.6 ,29.9 ,28.4 ,29.0 
Reportos ,8.6 ,6.8 ,5.2 ,6.0 ,5.7 
Disponibilidades ,8.1 ,8.6 ,7.0 ,5.4 ,8.2 
Cuentas de margen ,2.3 ,2.1 ,1.6 ,2.0 ,3.3 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


