Table
HP UN Equity ,Helmerich & Payne Inc ,TROW UW Equity ,T Rowe Price Group Inc ,LRCX UW Equity ,Lam Research Corp 
FTV UN Equity ,Fortive Corp ,WM UN Equity ,Waste Management Inc ,MHK UN Equity ,Mohawk Industries Inc 
HSY UN Equity ,Hershey Co/The ,CBS UN Equity ,CBS Corp ,PNR UN Equity ,Pentain PLC 
SYF UN Equity ,Synchrony Financial ,AGN UN Equity ,Allergan PLC ,VRTX UW Equity ,Vertex Pharmaceuticals Inc 
HRL UN Equity ,Hormel Foods Corp ,STZ UN Equity ,Constellation Brands Inc ,AMCR UN Equity ,Amcor PLC 
AJG UN Equity ,Arthur J Gallagher & Co ,XLNX UW Equity ,Xilinx Inc ,FB UW Equity ,Facebook Inc 
MDLZ UW Equity ,Mondelez International Inc ,XRAY UW Equity ,DENTSPLY SIRONA Inc ,URI UN Equity ,United Rentals Inc 
CNP UN Equity ,CenterPoint Energy Inc ,ZION UW Equity ,Zions Bancorp NA ,ABMD UW Equity ,ABIOMED Inc 
HUM UN Equity ,Humana Inc ,ALK UN Equity ,Alaska Air Group Inc ,ARE UN Equity ,Alexandria Real Estate Equities Inc 
WLTW UW Equity ,Willis Towers Watson PLC ,IVZ UN Equity ,Invesco Ltd ,DAL UN Equity ,Delta Air Lines Inc 
ITW UN Equity ,Illinois Tool Works Inc ,LIN UN Equity ,Linde PLC ,UAL UW Equity ,United Airlines Holdings Inc 
IR UN Equity ,Ingersoll-Rand PLC ,INTU UW Equity ,Intuit Inc ,NWS UW Equity ,News Corp 
FL UN Equity ,Foot Locker Inc Interpublic ,MS UN Equity ,Morgan Stanley Microchip ,CNC UN Equity ,Centene Corp 
IPG UN Equity ,Group of Cos Inc/The ,MCHP UW Equity ,Technology Inc ,MAC UN Equity ,Macerich Co/The 
IFF UN Equity ,International Flavors & Fragrances Inc Jacobs ,CB UN Equity ,Chubb Ltd ,MLM UN Equity ,Martin Marietta Materials Inc 
JEC UN Equity ,Engineering Group Inc ,HOLX UW Equity ,Hologic Inc ,PYPL UW Equity ,PayPal Holdings Inc 
HBI UN Equity ,Hanesbrands Inc ,CFG UN Equity ,Citizens Financial Group Inc O'Reilly ,COTY UN Equity ,Coty Inc DISH Network 
K UN Equity ,Kellogg Co ,ORLY UW Equity ,Automotive Inc ,DISH UW Equity ,Corp 
BR UN Equity ,Broadridge Financial Solutions Inc ,ALL UN Equity ,Allstate Corp/The ,DOW UN Equity ,Dow Inc 
PRGO UN Equity ,Perrigo Co PLC ,FLIR UW Equity ,FLIR Systems Inc ,ALXN UW Equity ,Alexion Pharmaceuticals Inc 
KMB UN Equity ,Kimberly-Clark Corp ,EQR UN Equity ,Equity Residential ,RE UN Equity ,Everest Re Group Ltd 
KIM UN Equity ,Kimco Realty Corp ,BWA UN Equity ,BorgWarner Inc ,WCG UN Equity ,WellCare Health Plans Inc 
KSS UN Equity ,Kohl's Corp ,INCY UW Equity ,Incyte Corp ,NWSA UW Equity ,News Corp 
ORCL UN Equity ,Oracle Corp ,SPG UN Equity ,Simon Property Group Inc ,GPN UN Equity ,Global Payments Inc 
KR UN Equity ,Kroger Co/The ,EMN UN Equity ,Eastman Chemical Co ,CCI UN Equity ,Crown Castle International Corp 
LEG UN Equity ,Leggett & Platt Inc ,TWTR UN Equity ,Twitter Inc ,APTV UN Equity ,Aptiv PLC 
LEN UN Equity ,Lennar Corp ,AVB UN Equity ,AvalonBay Communities Inc ,AAP UN Equity ,Advance Auto Parts Inc 


