Table
Casa de Bolsa Intervalo de Calificación (Millones de pesos) ,MtM 2T21 ,Promedio 2T21 
AAA/AA- ,0 ,0 
A+/A- ,(8) ,(3) 
BBB+/BBB- ,0 ,0 
BB+/BB- ,0 ,0 
B+/B- ,0 ,0 
CCC/C ,0 ,0 
SC ,77 ,26 
Total ,69 ,23 


Table
Casa de Bolsa Salidas Netas de Efectivo (Millones de pesos) ,2T21 ,Promedio 2T21 
Salida de Efectivo con Downgrade de 1 Escalón ,0 ,0 
Salida de Efectivo con Downgrade de 2 Escalones ,0 ,0 
Salida de Efectivo con Downgrade de 3 Escalones ,0 ,0 


Table
Casa de Bolsa (Millones de pesos) ,Riesgo ,Potencial ,Riesgo ,Actual 
Contrapartes Financieras ,2T21 ,Promedio 2T21 ,2T21 ,Promedio 2T21 
SWAP TASA ,229 ,76 ,(8) ,(3) 
Total ,229 ,76 ,(8) ,(3) 


Table
Contrapartes No Financieras ,2T21 ,Promedio 2T21 ,2T21 ,Promedio 2T21 
SWAP TASA ,89 ,30 ,77 ,26 
Total ,89 ,30 ,77 ,26 


