Table
COMPAÑÍA ,ANALISTA ,OPINIÓN ,FECHA 
Actinver ,Lilian Ochoa ,Compra ,23-abr-21 
Autonomous ,Geoffrey Elliott ,Compra ,19-may-21 
Barclays ,Gilberto García ,Compra ,27-may-21 
BBVA ,Rodrigo Ortega ,Compra ,22-abr-21 
BOFA - Merill Lynch ,M. Pierry / E. Gabilondo ,Compra ,28-jun-21 
BTG Pactual ,Eduardo Rosman ,Compra ,22-abr-21 
Citi ,Jorg Friedman ,Compra ,30-jun-21 
Credit Suisse ,M. Telles / A. García ,Compra ,22-abr-21 
GBM ,Carlos de Legarreta ,Compra ,29-oct-20 
Goldman Sachs ,Tito Labarta ,Compra ,15-jul-21 
Intercam ,Alejandro González ,Compra ,22-abr-21 
JP Morgan ,Domingos Falavina ,Compra ,22-abr-21 
Santander ,Claudia Benavente ,Compra ,21-ene-21 
Scotia ,Jason Mollin ,Compra ,07-jul-21 
UBS ,Philip Finch ,Compra ,22-abr-21 
Vector ,Marco Montañez ,Compra ,13-may-21 
HSBC ,Carlos Gómez ,Mantener ,22-abr-21 
Itaú BBA ,Arturo Langa ,Mantener ,22-abr-21 
Monex ,Verónica Uribe ,Mantener ,22-abr-21 
Nau ,Iñigo Vega ,Mantener ,29-mar-21 
Morgan Stanley ,Jorge Kuri ,Mantener ,22-jun-21 
Invex ,Montserrat Antón ,Vender ,31-may-21 


Table
No. de Acciones (Millones) ,SERIES O Al 30 de junio de 2021 
"No. de Acciones Emitidas, Suscritas y Pagadas ","2,883,456,594 "
No. de Acciones en Circulación ,"2,883,456,594 "
Acciones en Tesorería de GFNorte ,0 


