Table
Consejeros Propietarios ,,Consejeros Suplentes ,
Don Carlos Hank González ,Presidente ,Doña Graciela González Moreno ,
Don Juan Antonio González Moreno ,,Don Juan Antonio González Marcos ,
Don David Juan Villarreal Montemayor ,,Don Alberto Halabe Hamui ,Independiente 
Don José Marcos Ramírez Miguel ,,Don Gerardo Salazar Viezca ,
Don Carlos de la Isla Corry ,,Don Alberto Pérez-Jácome Friscione ,
Don Everardo Elizondo Almaguer ,Independiente ,Don Diego Martínez Rueda-Chapital ,Independiente 
Doña Carmen Patricia Armendáriz Guerra ,Independiente ,Don Roberto Kelleher Vales ,Independiente 
Don Clemente Ismael Reyes Retana Valdés ,Independiente ,Doña Cecilia Goya de Riviello Meade ,Independiente 
Don Alfredo Elias Ayub ,Independiente ,Don Isaac Becker Kabacnik ,Independiente 
Don Adrián Sada Cueva ,Independiente ,Don José María Garza Treviño ,Independiente 
Don David Peñaloza Alanis ,Independiente ,Don Carlos Césarman Kolteniuk ,Independiente 
Don José Antonio Chedraui Eguía ,Independiente ,Don Humberto Tafolla Núñez ,Independiente 
Don Alfonso de Angoitia Noriega ,Independiente ,Doña Guadalupe Phillips Margain ,Independiente 
Don Thomas Stanley Heather Rodríguez ,Independiente ,Don Ricardo Maldonado Yáñez ,Independiente 


