Table
Provisiones preventivas para Riesgos Crediticios (Millones de Pesos) ,2T21 
Provisiones Preventivas Iniciales ,"19,670 "
Cargos a resultados ,"3,444 "
Cargos a utilidades retenidas ,0 
Creadas con Margen de Utilidad ,0 
Reserva de Carteras Vendidas ,0 
Otros Conceptos ,0 
"Castigos, condonaciones y quitas: ",
Créditos Comerciales ,(600) 
Créditos al Consumo ,"(3,797) "
Créditos a la Vivienda ,(532) 
Por Bienes Adjudicados ,0 
,"(4,929) "
Costo de Programas de Apoyo a ,(2) 
Deudores ,
Valorización ,(8) 
Eliminaciones ,0 
Provisiones Preventivas Finales ,"18,175 "


