Table
Capital Contable a septiembre 2020 (Millones de pesos) ,"9,073 "
I. Financiamientos cuyo monto individual representa más del 10% del capital contable: ,
Operaciones crediticias ,
Número de financiamientos ,5 
Monto de los financiamientos en su conjunto ,"8,706 "
% en relación al capital contable ,96% 
Operaciones en mercado de dinero ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
Operaciones overnight ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
II. Monto máximo de financiamiento con los 3 mayores deudores y grupos de riesgo común ,"6,809 "


