Table
Sensibilidad al Margen (Millones de pesos) ,3T20 ,4T20 ,Var vs. 3T20 
Balance en Moneda Nacional ,504 ,561 ,11.3% 
Balance en Moneda Extranjera ,785 ,565 ,(28.0%) 


