Table
Fuente de Fondeo (Millones de pesos) ,3T20 ,4T20 ,Var vs. 3T20 
Depósitos a la Vista ,,,
Moneda Nacional (1) ,"450,484 ","480,761 ",6.7% 
Moneda Extranjera (1) ,"59,067 ","53,345 ",(9.7%) 
Depósitos a la Vista ,"509,551 ","534,106 ",4.8% 
Depósitos a Plazo - Ventanilla ,,,
Moneda Nacional (2) ,"206,691 ","204,658 ",(1.0%) 
Moneda Extranjera ,"12,945 ","12,613 ",(2.6%) 
Captación Ventanilla ,"729,187 ","751,378 ",3.0% 
Mesa de Dinero ,,,
Moneda Nacional (3) ,"58,600 ","49,308 ",(15.9%) 
Moneda Extranjera (3) ,"43,482 ","40,318 ",(7.3%) 
Captación Integral Sector Banca ,"831,270 ","841,003 ",1.2% 


