Table
Indicador de Liquidez (Millones de pesos) ,Casa de Bolsa Banorte ,Arrendadora y Factor 
Brecha Acumulada a un mes ,"4,236 ","(15,055) "
Activos Líquidos ,"4,456 ",42 


