Table
Sensibilidad al Margen (Millones de pesos) ,4T20 ,1T21 ,Var vs. 4T20 
Balance en Moneda Nacional ,561 ,566 ,0.9% 
Balance en Moneda Extranjera ,565 ,569 ,0.7% 


