Table
Institució n ,Tipo de Cotización ,Clasificación Contable ,Tratamiento Capitalización ,Valor Mercado 1T21 ,Plusvalía / Minusvalía Acum. ,Utilidad / Pérdida Ventas / Compras 
Banorte ,Cotización Pública ,Negociación ,Riesgo Mercado ,0 ,(27.2) ,0 
Banorte ,Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado ,3.9 ,(11.7) ,0 
Banorte ,Cotización Pública ,Negociación ,Deducción de capital ,221.6 ,120.9 ,0 
Banorte ,Cotización Pública ,Disponibles para la Venta ,Deducción de capital ,421.6 ,180.2 ,0 
Banorte ,Sin Cotización Pública ,Disponibles para la Venta ,Riesgo Mercado y Crédito ,939.9 ,37.7 ,0 
,,,Total ,"1,587 ",299.9 ,0 


