Table
Factor de Riesgo (Millones de pesos) ,1T21 ,Promedio 1T21 
Tasas ,44.1 ,41.6 
FX ,0.0 ,0.0 
Renta Variable ,5.6 ,4.8 
Efecto Diversificación ,(5.6) ,(4.8) 
Pérdida Potencial Total de Casa de Bolsa ,44.1 ,41.5 


Table
Pérdida Potencial (Millones de pesos) ,Promedio 1T21 
Pérdida Potencial Total ,41.5 
Capital Neto ,"4,909 "
Pérdida Potencial/Capital Neto ,0.85% 


