Table
Indicador de Liquidez (Millones de pesos) ,Casa de Bolsa Banorte ,Arrendadora y Factor 
Brecha Acumulada a un mes ,"4,629 ",(13.491) 
Activos Líquidos ,"4,892 ",39 


