Table
Cuentas de riesgo propias ,"5,196,328 "
Activos y Pasivos Contingentes ,942 
Compromisos Crediticios ,"632,070 "
Bienes en fideicomiso O mandato ,"430,531 "
Mandatos ,233 
Fideicomisos ,"430,298 "
Bienes en custodia O en administración ,"225,194 "
Colaterales recibidos por la entidad ,"92,679 "
Colaterales recibidos y vendidos O entregados en gtía. por la entidad ,"83,144 "
Intereses devengados no cobrados derivados de cartera de crédito vda. ,"3,424 "
Otras cuentas de registro ,"3,728,344 "
,
Totales por cuenta propia ,"5,196,328 "


Table
Clientes cuentas corrientes ,"8,844 "
Bancos de clientes ,362 
Liquidación de operaciones de clientes ,"8,482 "
Premios de clientes ,O 
Valores de clientes ,"1,643,532 "
Valores y documentos recibidos en garantía ,12 
Valores de clientes recibidos en custodia ,"1,643,520 "
Operaciones por cuenta de clientes ,121 
Operaciones de reporto de clientes ,56 
Colaterales recibidos en garantía por cuenta de clientes ,65 
Operaciones de préstamos de valores de clientes ,O 
Operaciones de banca de inversión por cuenta de terceros (neto) ,"1,808,667 "
Totales por cuenta de terceros ,"3,461,164 "


