Table
Millones de pesos ,PD ,Severidad 
Comercial ,1.7% ,34.9% 
Consumo ,5.8% ,85.3% 
Hipotecario ,2.1% ,20.7% 


Table
Comercial ,0.7% 
Consumo ,4.9% 
Hipotecario ,0.4% 


