Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. ",,,,% ,
Captación y recursos totales Millones de pesos ,6M 2020 ,3M 2021 ,6M 2021 ,Var Trim ,Var Anual 
Vista ,"1,016,021 ","1,115,493 ","1,131,180 ",1.4 ,11.3 
Plazo ,"273,665 ","238,406 ","223,515 ",(6.2) ,(18.3) 
Del Público en General ,"245,544 ","232,356 ","217,871 ",(6.2) ,(11.3) 
Mercado de Dinero ,"28,121 ","6,050 ","5,644 ",(6.7) ,(79.9) 
Titulos de crédito emitidos ,"89,927 ","85,296 ","87,743 ",2.9 ,(2.4) 
Cuenta global de captación sin movimientos ,"4,781 ","5,035 ","5,278 ",4.8 ,10.4 
Captación Tradicional ,"1,384,394 ","1,444,230 ","1,447,716 ",0.2 ,4.6 
Fondos de inversión ,"503,742 ","520,611 ","527,329 ",1.3 ,4.7 
Captación Global Total ,"1,888,136 ","1,964,841 ","1,975,045 ",0.5 ,4.6 


