Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,108.76 ,133.28 ,"22,011,984.83 "
2017 ,115.05 ,183.03 ,"16,674,596.54 "
2018 ,124.06 ,217.50 ,"27,262,166.58 "
2019 ,131.09 ,208.10 ,"16,094,515.08 "
2020 ,146.01 ,303.91 ,"22,624,224.43 "
1° Sem. 2019 ,131.09 ,195.47 ,"18,274,490.02 "
2° Sem. 2019 ,174.60 ,208.10 ,"13,950,083.22 "
1° Sem. 2020 ,146.01 ,242.24 ,"23,485,350.38 "
2° Sem. 2020 ,230.12 ,303.91 ,"21,772,458.53 "
octubre 2020 ,258.12 ,284.79 ,"20,346,506.65 "
noviembre 2020 ,261.36 ,294.68 ,"17,233,754.97 "
diciembre 2020 ,267.09 ,287.52 ,"15,741,876.84 "
enero 2021 ,245.64 ,282.05 ,"22,837,847.81 "
febrero 2021 ,254.69 ,273.97 ,"16,945,027.89 "
marzo 2021 ,255.31 ,294.53 ,"22,755,329.39 "


