Table
,1T20 ,2T20 ,3T20 ,4T20 ,1T21 
Cartera de crédito ,58.2 ,53.9 ,51.6 ,49.2 ,49.7 
Inversiones en valores ,28.4 ,29.0 ,32.8 ,35.4 ,36.3 
Disponibilidades ,5.4 ,8.2 ,8.4 ,8.8 ,8.1 
Reportos ,6.0 ,5.7 ,4.3 ,4.3 ,3.9 
Cuentas de margen ,2.0 ,3.3 ,3.0 ,2.3 ,2.0 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


