Table
Millones de pesos ,,,,% Variación ,,,,% Variación 
,1T21 ,4T20 ,1T20 ,TaT ,AaA ,3M21 ,3M20 ,21/20 
Valuación ,,,,,,,,
Divisas ,"(1,218) ","(3,642) ","2,742 ",(66.6) ,(144.4) ,"(1,218) ","2,742 ",(144.4) 
Derivados ,"2,999 ","(1,457) ","2,844 ",- ,5.5 ,"2,999 ","2,844 ",5.5 
Acciones ,(73) ,163 ,(921) ,(144.8) ,(92.1) ,(73) ,(921) ,(92.1) 
Instrumentos de deuda ,"(4,895) ",646 ,555 ,- ,- ,"(4,895) ",555 ,- 
Resultado por valuación ,"(3,187) ","(4,290) ","5,220 ",(25.7) ,- ,"(3,187) ","5,220 ",- 
Compra / venta de valores ,,,,,,,,
Divisas ,"2,301 ","4,811 ","(4,132) ",(52.2) ,- ,"2,301 ","(4,132) ",- 
Derivados ,"1,180 ",89 ,(849) ,- ,- ,"1,180 ",(849) ,- 
Acciones ,166 ,101 ,(75) ,64.4 ,- ,166 ,(75) ,- 
Instrumentos de deuda ,938 ,12 ,719 ,- ,30.5 ,938 ,719 ,30.5 
Resultado por compra-venta de valores ,"4,585 ","5,013 ","(4,337) ",(8.5) ,- ,"4,585 ","(4,337) ",- 
Total ,"1,398 ",723 ,883 ,93.4 ,58.3 ,"1,398 ",883 ,58.3 


