Table
Millones de pesos ,,1T21 ,,,1T20 ,,,Variación AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Disponibilidades ,"113,535 ",371 ,1.31 ,"67,528 ",717 ,4.20 ,68.1 ,(48.3) ,(289) 
Cuentas de margen ,"27,821 ",61 ,0.88 ,"24,317 ",170 ,2.77 ,14.4 ,(64.1) ,(189) 
Inversiones en valores ,"512,619 ","6,243 ",4.87 ,"351,965 ","6,454 ",7.25 ,45.6 ,(3.3) ,(238) 
Cartera total ,"701,269 ","17,715 ",10.10 ,"722,091 ","22,033 ",12.07 ,(2.9) ,(19.6) ,(197) 
Comisiones por el otorgamiento inicial del crédito ,- ,142 ,- ,- ,139 ,- ,- ,2.2 ,- 
Reportos y préstamo ,,,,,,,,,
de valores ,"55,461 ",567 ,4.09 ,"74,666 ","1,334 ",7.07 ,(25.7) ,(57.5) ,(298) 
Ingresos por intereses ,"1,410,705 ","25,099 ",7.12 ,"1,240,567 ","30,847 ",9.84 ,13.7 ,(18.6) ,(272) 


