Table
Millones de pesos ,,3M21 ,,,3M20 ,
,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas ,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas 
Margen financiero ,"14,069 ","1,255 ",261 ,"15,018 ","1,498 ",380 
Estimación preventiva para riesgos crediticios ,"(5,245) ","(1,830) ",0 ,"(5,662) ",497 ,0 
Margen financiero ajustado por riesgos crediticios ,"8,824 ",(575) ,261 ,"9,356 ","1,995 ",380 
Comisiones y tarifas (neto) ,"4,335 ",570 ,(3) ,"4,188 ",514 ,(5) 
Resultado por intermediación ,319 ,630 ,449 ,354 ,629 ,(100) 
Otros ingresos de la operación ,(740) ,(1) ,77 ,(272) ,38 ,22 
Gastos de administración y ,,,,,,
promoción ,"(8,453) ","(1,148) ",(293) ,"(8,491) ","(1,135) ",(159) 
Resultado de la operación ,"4,285 ",(524) ,491 ,"5,135 ","2,041 ",138 


