Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,"2,697.44 ","3,290.52 ","637,363,177.18 "
2017 ,"3,230.68 ","3,697.40 ","480,238,812.63 "
2018 ,"2,937.36 ","3,672.29 ","495,509,098.11 "
2019 ,"2,954.66 ","3,782.27 ","450,435,611.05 "
2020 ,"2,385.82 ","3,865.18 ","518,941,433.31 "
1° Sem. 2019 ,"2,954.66 ","3,514.62 ","473,592,625.64 "
2° Sem. 2019 ,"3,282.78 ","3,782.27 ","427,656,156.48 "
1° Sem. 2020 ,"2,385.82 ","3,865.18 ","629,402,342.08 "
2° Sem. 2020 ,"2,958.21 ","3,581.37 ","409,681,186.58 "
octubre 2020 ,"2,958.21 ","3,298.12 ","349,443,229.32 "
noviembre 2020 ,"2,958.21 ","3,527.79 ","490,008,182.83 "
diciembre 2020 ,"3,448.68 ","3,581.37 ","356,069,954.65 "
enero 2021 ,"3,481.44 ","3,645.05 ","361,690,634.39 "
febrero 2021 ,"3,530.85 ","3,734.20 ","407,596,249.29 "
marzo 2021 ,"3,669.54 ","3,926.20 ","401,005,656.68 "


