Table
Capital Básico 1/ ,"124,255 ","124,927 ",1% 
Activos Ajustados 2/ ,"1,680,826 ","1,640,656 ",(2)% 
Razón de Apalancamiento 3/ ,7.39% ,7.61% ,


