Table
,
1. ,"OBJETIVOS, ALCANCE Y FUNCIONES DE ADMINISTRACIÓN DE RIESGOS 3 "
2. ,RIESGO CRÉDITO 5 
3. ,RIESGO MERCADO (Banco y Casa de Bolsa) 19 
4. ,RIESGO DE BALANCE Y LIOUIDEZ 22 
5. ,RIESGO OPERACIONAL 28 
6. ,BURSATILIZACIONES REALIZADAS POR GFNORTE 30 
7. ,POSICIÓN EN ACCIONES 33 


