Table
Provisiones preventivas para Riesgos Crediticios (Millones de Pesos) ,3T20 
Provisiones Preventivas Iniciales ,"18,555 "
Cargos a resultados ,"3,654 "
Cargos a utilidades retenidas ,0 
Creadas con Margen de Utilidad ,0 
Reserva de Carteras Vendidas ,0 
Otros Conceptos ,0 
"Castigos, condonaciones y quitas: ",
Créditos Comerciales ,(424) 
Créditos al Consumo ,"(3,439) "
Créditos a la Vivienda ,(665) 
Por Bienes Adjudicados ,0 
,"(4,528) "
Costo de Programas de Apoyo a ,
Deudores ,(2) 
Valorización ,(13) 
Eliminaciones ,0 
Provisiones Preventivas Finales ,"17,666 "


Table
(Millones de Pesos) ,3T20 
Cartera Emproblemada ,"3,317 "
Cartera Total ,"838,440 "
Cartera Emproblemada / Cartera Total ,0.4% 


