Table
Factor de Riesgo (Millones de pesos) ,3T20 ,Promedio 3T20 
Tasas ,47.7 ,29.1 
FX ,0.0 ,0.0 
Renta Variable ,5.3 ,3.6 
Efecto Diversificación ,(4.9) ,(3.3) 
Pérdida Potencial Total de Casa de Bolsa ,48.1 ,29.3 


Table
Pérdida Potencial (Millones de pesos) ,Promedio 3T20 
Pérdida Potencial Total ,29.3 
Capital Neto(1) ,"4,276 "
Pérdida Potencial/Capital Neto ,0.68% 


