Table
Indicador de Liquidez (Millones de pesos) ,Casa de Bolsa Banorte ,Arrendadora y Factor 
Brecha Acumulada a un mes ,"3,628 ","(9,699) "
Activos Líquidos ,"4,111 ",63 


