Table
"Grupo Financiero BBVA Bancomer, S.A. de ",C.V. ,
Valor en riesgo de títulos para negociar Millones de pesos ,VaR 1 Día ,VaR 10 Días 
3T 2020 ,,
Renta fija ,165 ,537 
Renta variable ,23 ,75 
Cambios ,35 ,117 
Vega ,24 ,76 
Total ,148 ,482 


Table
Valor en riesgo de títulos para negociar Millones de pesos ,3T 2019 ,4T 2019 ,1T 2020 ,2T 2020 ,3T 2020 
VaR 1 día ,108 ,119 ,121 ,175 ,148 
VaR 10 días ,334 ,379 ,381 ,549 ,482 


