Table
Grupo Financiero BBVA Análisis de precio volumen ,"Bancomer, cartera ",S.A. de C.V. de crédito ,,% ,
Millones de pesos ,3T 2019 ,2T 2020 ,3T 2020 ,Var Trim ,Var Anual 
Saldo medio trimestral ,"1,174,475 ","1,293,537 ","1,255,857 ",(2.9%) ,6.9% 
Intereses cobrados ,"39,079 ","32,917 ","34,976 ",6.3% ,(10.5%) 
Tasa ,13.09% ,10.09% ,10.95% ,8.5% ,(16.3%) 
,,,3T20 vs 3T19 ,,
Volumen ,,,1108 ,,
Tasa ,,,"(5,215) ",,
Días ,,,O ,,
TOTAL ,,,"(4,107) ",,
,,,,,
,,,3T20 VS 2T20 ,,
Volumen ,,,(538) ,,
Tasa ,,,2317 ,,
Dias ,,,279 ,,
TOTAL ,,,"1,779 ",,


