Table
Subyacente ,Compra ,Venta 
USD * ,"656,683 ","611,592 "
Otras divisas ,"113,787 ","57,512 "
Indice Extranjero ,"25,413 ","29,675 "
lpc ,"3,552 ",53 


Table
Subyacente ,Compra ,Venta 
USD ,"10,829 ","11,417 "
MXN ,"2,058 ",138 
Indice ,O ,54 
Bono M10 ,392 ,O 


Table
Millones de pesos ,Gubernamental ,Total 
Acreedores por reporto ,"(240,870) ","(240,870) "
Deudores por reporto ,"10,655 ","10,655 "


