Table
Periodo ,Precio mínimo ,Precio máximo ,Volumen promedio (títulos) 
2016 ,126.70 ,157.81 ,"3,320,424.94 "
2017 ,155.68 ,297.90 ,"3,285,889.52 "
2018 ,294.16 ,392.30 ,"4,415,244.54 "
2019 ,310.90 ,440.62 ,"5,294,491.25 "
2020 ,95.01 ,347.45 ,"27,674,032.11 "
2° Sem. 2019 ,320.42 ,386.89 ,"4,736,147.08 "
1° Sem. 2020 ,95.01 ,347.45 ,"30,977,849.81 "
2° Sem. 2020 ,144.39 ,238.17 ,"24,406,125.47 "
1° Sem. 2021 ,194.03 ,269.19 ,"13,975,056.90 "
enero 2021 ,194.03 ,214.06 ,"12,684,513.13 "
febrero 2021 ,195.84 ,229.34 ,"11,849,331.79 "
marzo 2021 ,223.14 ,269.19 ,"22,521,135.55 "
abril 2021 ,234.06 ,259.36 ,"12,350,445.87 "
mayo 2021 ,220.78 ,250.70 ,"12,642,307.45 "
junio 2021 ,235.76 ,255.62 ,"11,463,466.43 "


Table
Nivel de mercado ,Valor observado ,Fechas de ejercicio 1 a 3 ,Fecha de ejercicio 4 
236.23 ,103.00 ,104.60 ,Ps. 104.60 
247.70 ,108.00 ,104.60 ,Ps. 104.60 
259.17 ,113.00 ,104.60 ,Ps. . 104.60 
270.63 ,118.00 ,104.60 ,Ps. 104.60 
282.10 ,123.00 ,104.60 ,Ps. . 104.60 
293.57 ,128.00 ,104.60 ,Ps. 104.60 
305.04 ,133.00 ,104.60 ,Ps. 104.60 
316.50 ,138.00 ,104.60 ,Ps. 104.60 


