Table
Millones de pesos ,Total ,1D ,1S ,1M ,3M ,6M ,9M ,1A ,5A ,>5A 
Gap Estructural ,"443,102 ","(87,103) ","(55,975) ","(42,175) ","51,035 ","50,247 ","35,688 ","91,212 ","374,658 ","25,515 "
No Derivados ,"431,177 ","(87,257) ","(55,901) ","(42,284) ","50,968 ","50,252 ","35,732 ","91,054 ","366,110 ","22,505 "
Derivados ,"11,925 ",154 ,(74) ,109 ,66 ,(5) ,(44) ,159 ,"8,549 ","3,010 "


