Table
,(Miles de pesos) ,,% 
Mesas de Negociación ,,"138,914.29 ",0.09 
Market Making ,,"84,515.82 ",0.06 
Propietary Trading ,,"47,577.00 ",0.03 
,VaR (Miles de pesos) ,,% 
Factor de Riesgo ,,,
Tasa de Interés ,,"137,944.12 ",0.09 
Tipo de Cambio ,,"7,388.94 ",0.00 
Renta Variable ,,"1,538.53 ",0.00 


Table
,(Miles de pesos) ,,% 
Mesas de Negociación ,,"74,893.09 ",0.05 
Market Making ,,"49,053.46 ",0.03 
Propietary Trading ,,"29,981.45 ",0.02 


