Table
Millones de pesos ,,6M21 ,,,6M20 ,
,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas ,Banca Comercial ,Banca Corporativa y de Inversión ,Actividades Corporativas 
Margen financiero ,"28,448 ","2,463 ",444 ,"29,901 ","2,837 ",89 
Estimación preventiva para riesgos crediticios ,"(10,451) ","(1,692) ",0 ,"(13,265) ",(250) ,0 
Margen financiero ajustado por riesgos crediticios ,"17,997 ",771 ,444 ,"16,636 ","2,587 ",89 
Comisiones y tarifas (neto) ,"8,693 ","1,087 ",(5) ,"8,101 ","1,207 ",(13) 
Resultado por intermediación ,676 ,"1,283 ",256 ,595 ,"2,149 ","1,422 "
Otros ingresos de la operación ,"(1,472) ",1 ,265 ,(738) ,37 ,257 
Gastos de administración y ,,,,,,
promoción ,"(16,913) ","(2,330) ",(606) ,"(16,505) ","(2,381) ",(498) 
Resultado de la operación ,"8,981 ",812 ,354 ,"8,089 ","3,599 ","1,257 "


