Table
Millones de pesos ,Total ,0-1 mes ,1-3 meses ,3-6 meses ,6-12 meses ,1-3 años ,3-5 años ,>5 años ,No sensible 
Mercado de Dinero ,"129,741 ","37,887 ",0 ,0 ,0 ,0 ,0 ,0 ,"91,854 "
Préstamos ,"940,045 ","59,714 ","96,325 ","73,720 ","107,908 ","255,772 ","114,447 ","232,182 ",(23) 
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,"5,189 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"5,189 "
Valores ,"629,219 ","83,136 ","17,183 ","9,610 ","12,197 ","133,922 ","105,899 ","43,065 ","224,208 "
Permanentes ,"17,624 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"17,624 "
Otros Activos dentro de Balance ,"2,558,162 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"2,558,162 "
Total de Activos Dentro de ,,,,,,,,,
Balance ,"4,279,980 ","180,737 ","113,508 ","83,330 ","120,105 ","389,694 ","220,345 ","275,247 ","2,897,014 "
Mercado de Dinero ,"(330,290) ","(123,297) ",0 ,0 ,0 ,(35) ,0 ,0 ,"(206,957) "
Depósitos ,"(820,072) ","(183,549) ","(35,932) ","(30,558) ","(34,929) ","(108,855) ","(85,903) ","(340,347) ",0 
Financiamiento de Comercio ,,,,,,,,,
Exterior ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Intragrupo ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Financiamiento de largo plazo ,"(224,932) ","(7,676) ","(18,883) ","(22,660) ","(25,208) ","(76,388) ","(51,735) ","(1,442) ","(20,939) "
Capital ,"(163,737) ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(163,737) "
Otros Pasivos Dentro de Balance ,"(2,561,751) ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,"(2,561,751) "
Total Pasivos Dentro de ,,,,,,,,,
Balance ,"(4,100,783) ","(314,522) ","(54,815) ","(53,218) ","(60,138) ","(185,278) ","(137,638) ","(341,789) ","(2,953,385) "
Descalce Total Dentro de Balance ,"179,197 ","(133,785) ","58,693 ","30,112 ","59,967 ","204,416 ","82,708 ","(66,542) ","(56,371) "
Descalce Total Fuera de Balance ,"(1,675) ","(24,430) ",(260) ,305 ,(386) ,"4,208 ",(211) ,(223) ,"19,322 "
Total Descalce Estructural ,,"(113,153) ","58,379 ","29,953 ","58,832 ","208,624 ","82,497 ","(66,764) ","(80,846) "
Descalce Acumulado ,,"(109,333) ","(54,774) ","(24,821) ","42,777 ","242,635 ","325,132 ","258,368 ","177,521 "


