Table
Millones de pesos ,,,,% Variación ,,,,% Variación 
,2T21 ,1T21 ,2T20 ,TaT ,AaA ,6M21 ,6M20 ,AaA 
Comercial ,"1,823 ","3,414 ","3,149 ",(46.6) ,(42.1) ,"5,237 ","3,933 ",33.2 
Consumo ,"2,826 ","3,120 ","3,902 ",(9.4) ,(27.6) ,"5,946 ","7,073 ",(15.9) 
Hipotecario ,419 ,541 ,"1,299 ",(22.6) ,(67.7) ,960 ,"2,509 ",(61.7) 
Total ,"5,068 ","7,075 ","8,350 ",(28.4) ,(39.3) ,"12,143 ","13,515 ",(10.1) 


Table
,,,,,,,,
Millones de pesos ,,,,Variación ,(pb) ,,,Variación (pb) 
,2T21 ,1T21 ,2T20 ,TaT ,AaA ,6M21 ,6M20 ,AaA 
Comercial ,1.63 ,1.85 ,1.49 ,(22) ,14 ,1.63 ,1.49 ,14 
Consumo ,10.65 ,11.58 ,11.32 ,(93) ,(67) ,10.65 ,11.32 ,(67) 
Hipotecario ,0.36 ,0.90 ,1.93 ,(54) ,(157) ,0.36 ,1.93 ,(157) 
Total ,2.75 ,3.15 ,3.14 ,(40) ,(39) ,2.75 ,3.14 ,(39) 


