Table
,Número de créditos ,Millones de pesos 
Créditos comerciales ,,
Actividad empresarial o comercial ,"18,557 ","42,651 "
Créditos de consumo ,"346,158 ","18,831 "
Créditos a la vivienda ,,
Media y residencial ,"54,516 ","58,690 "
De interés social ,9 ,1 
Créditos adquiridos al Infonavit o el Fovissste ,0 ,0 
Total ,"419,240 ","120,173 "


