Table
Ticker ,Nombre ,Ticker ,Nombre ,Ticker ,Nombre 
WLTW UW Equity ,Willis Towers Watson PLC ,IVZ UN Equity ,Invesco Ltd ,DAL UN Equity ,Delta Air Lines Inc 
ITW UN Equity ,Illinois Tool Works Inc ,LIN UN Equity ,Linde PLC ,UAL UW Equity ,United Airlines Holdings Inc 
IR UN Equity ,Ingersoll-Rand PLC ,INTU UW Equity ,Intuit Inc ,NWS UW Equity ,News Corp 
FL UN Equity ,Foot Locker Inc Interpublic ,MS UN Equity ,Morgan Stanley ,CNC UN Equity ,Centene Corp 
IPG UN Equity ,Group of Cos Inc/The ,MCHP UW Equity ,Microchip Technology Inc ,MAC UN Equity ,Macerich Co/The 
IFF UN Equity ,International Flavors & Fragrances Inc Jacobs ,CB UN Equity ,Chubb Ltd ,MLM UN Equity ,Martin Marietta Materials Inc 
JEC UN Equity ,Engineering Group Inc ,HOLX UW Equity ,Hologic Inc ,PYPL UW Equity ,PayPal Holdings Inc 
HBI UN Equity ,Hanesbrands Inc ,CFG UN Equity ,Citizens Financial Group Inc O 'Reilly ,COTY UN Equity ,Coty Inc DISH Network 
K UN Equity ,Kellogg Co ,ORLY UW Equity ,Automotive Inc ,DISH UW Equity ,Corp 
BR UN Equity ,Broadridge Financial Solutions Inc ,ALL UN Equity ,Allstate Corp/The ,DOW UN Equity ,Dow Inc 
PRGO UN Equity ,Perrigo Co PLC ,FLIR UW Equity ,FLIR Systems Inc ,ALXN UW Equity ,Alexion Pharmaceuticals Inc 
KMB UN Equity ,Kimberly-Clark Corp ,EQR UN Equity ,Equity Residential ,RE UN Equity ,Everest Re Group Ltd 
KIM UN Equity ,Kimco Realty Corp ,BWA UN Equity ,BorgWarner Inc ,WCG UN Equity ,WellCare Health Plans Inc 
KSS UN Equity ,Kohl's Corp ,INCY UW Equity ,Incyte Corp ,NWSA UW Equity ,News Corp 
ORCL UN Equity ,Oracle Corp ,SPG UN Equity ,Simon Property Group Inc ,GPN UN Equity ,Global Payments Inc 
KR UN Equity ,Kroger Co/The ,EMN UN Equity ,Eastman Chemical Co ,CCI UN Equity ,Crown Castle International Corp 
LEG UN Equity ,Leggett & Platt Inc ,TWTR UN Equity ,Twitter Inc ,APTV UN Equity ,Aptiv PLC 
LEN UN Equity ,Lennar Corp ,AVB UN Equity ,AvalonBay Communities Inc ,AAP UN Equity ,Advance Auto Parts Inc 
JEF UN Equity ,Jefferies Financial Group Inc ,PRU UN Equity ,Prudential Financial Inc ,CPRI UN Equity ,Capri Holdings Ltd 
LLY UN Equity ,Eli Lilly & Co ,UPS UN Equity ,United Parcel Service Inc Apartment ,ALGN UW Equity ,Align Technology Inc 
LB UN Equity ,L Brands Inc ,AIV UN Equity ,Investment & Management Co ,ILMN UW Equity ,Illumina Inc 
CHTR UW Equity ,Charter Communications Inc ,WBA UW Equity ,Walgreens Boots Alliance Inc ,ADS UN Equity ,Alliance Data Systems Corp 
LNC UN Equity ,Lincoln National Corp ,MCK UN Equity ,McKesson Corp ,LKQ UW Equity ,LKQ Corp 
LUN Equity ,Loews Corp ,LMT UN Equity ,Lockheed Martin Corp ,NLSN UN Equity ,Nielsen Holdings PLC 
LOW UN Equity ,Lowe's Cos Inc ,ABC UN Equity ,AmerisourceBergen Corp ,GRMN UW Equity ,Garmin Ltd 


