Table
Millones de pesos ,,3T20 ,,,3T19 ,,,Variación AaA ,
,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio ,Interés ,Tasa (%) ,Saldo promedio (%) ,Interés (%) ,Tasa (pb) 
Disponibilidades ,"119,817 ",513 ,1.68 ,"99,263 ","1,017 ",4.01 ,20.7 ,(49.6) ,(233) 
Cuentas de margen ,"42,470 ",72 ,0.66 ,"23,843 ",256 ,4.20 ,78.1 ,(71.9) ,(354) 
Inversiones en valores ,"469,780 ","6,278 ",5.23 ,"261,740 ","4,847 ",7.25 ,79.5 ,29.5 ,(202) 
Cartera total ,"737,426 ","19,747 ",10.48 ,"692,999 ","22,547 ",12.73 ,6.4 ,(12.4) ,(225) 
Comisiones por el otorgamiento inicial del crédito ,- ,151 ,- ,- ,136 ,- ,- ,11.0 ,- 
Reportos y préstamo ,,,,,,,(22.3) ,,
de valores ,"61,097 ",742 ,4.75 ,"78,634 ","1,662 ",8.27 ,,(55.4) ,(352) 
Ingresos por intereses ,"1,430,590 ","27,503 ",7.52 ,"1,156,479 ","30,465 ",10.31 ,23.7 ,(9.7) ,(279) 


