Table
,(Miles de pesos) ,,% 
Mesas de Negociación ,,"190,437.39 ",0.13% 
Market Making ,,"56,151.34 ",0.04% 
Propietary Trading ,,"23,961.43 ",0.02% 
Factor de Riesgo ,,,


