Table
,,,,Variación ,(pb) ,,,Variación (pb) 
,3T20 ,2T20 ,3T19 ,TaT ,AaA ,9M20 ,9M19 ,AaA 
Comercial ,830 ,"2,561¹ ","1,208 ",(67.6) ,(31.3) ,"4,174 1 ","3,553 ",17.5 
Consumo ,"3,462 ","2,571 ","2,994 ",34.6 ,15.6 ,"9,204 ","9,069 ",1.5 
Hipotecario ,305 ,342 ,276 ,(10.9) ,10.3 ,"1,857 ",628 ,195.6 
Reservas ,,,,,,,,
adicionales ,- ,"2,876 ",- ,- ,- ,"2,876 ",- ,- 
Total ,"4,596 ","8,350 ","4,478 ",(45.0) ,2.6 ,"18,111 ","13,250 ",36.7 


Table
,,,,Variación ,(pb) ,,,Variación (pb) 
,3T20 ,2T20 ,3T19 ,TaT ,AaA ,9M20 ,9M19 ,AaA 
Comercial ,1.27 ,1.36 ,1.10 ,(9) ,17 ,1.27 ,1.10 ,17 
Consumo ,10.61 ,10.17 ,10.65 ,44 ,(4) ,10.61 ,10.65 ,(4) 
Hipotecario ,1.29 ,1.30 ,0.90 ,(1) ,39 ,1.29 ,0.90 ,39 
Total ,3.13 ,3.14¹ ,2.62 ,(1) ,51 ,3.13 1 ,2.62 ,51 


