Table
Descripción ,Vencimientos ,Posiciones cerradas 
Caps and Floors ,381 ,10 
Equity Forward ,9 ,0 
OTC Equity ,132 ,12 
OTC Fx ,953 ,202 
Swaptions ,0 ,0 
Fx Forward ,2822 ,133 
IRS ,1515 ,964 
CCS ,82 ,15 


