Table
Las inversiones en valores se integran de la siguiente manera: ,Valor Contable 
Títulos para negociar: ,
Valores bancarios ,"8,117 "
Valores gubernamentales ,"164,218 "
Acciones ,"1,344 "
,"173,679 "
Títulos disponibles para la venta: ,
Valores gubernamentales ,"361,385 "
Valores privados ,"5,296 "
Acciones ,741 
,"367,422 "
Títulos conservados a vencimiento: ,
Valores gubernamentales ,"7,804 "
Cetes Especiales ,"3,464 "
,"11,268 "
Total ,"552,369 "


Table
La cartera de reporto se integra como sigue: ,
,Saldo neto de reportos 
Saldos deudores ,
Valores bancarios ,"2,100 "
Valores gubernamentales ,"19,713 "
Total ,"21,813 "
Saldos acreedores ,
Valores bancarios ,"4,881 "
Valores gubernamentales ,"277,532 "
Valores privados ,253 
Total ,"282,666 "
,"(260,853) "


