Table
,3T19 ,4T19 ,1T20 ,2T20 ,3T20 
Cartera de crédito ,59.9 ,56.3 ,58.2 ,53.9 ,51.6 
Inversiones en valores ,22.6 ,29.9 ,28.4 ,29.0 ,32.8 
Reportos ,6.8 ,5.2 ,6.0 ,5.7 ,4.3 
Disponibilidades ,8.6 ,7.0 ,5.4 ,8.2 ,8.4 
Cuentas de margen ,2.1 ,1.6 ,2.0 ,3.3 ,3.0 
Total ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 


