Table
Concepto ,Saldos con apoyo COVID ,Efectos en cartera y estimación ,Saldos sin apoyo COVID 
CARTERA DE CRÉDITO VIGENTE ,,,
Créditos comerciales ,"$493,016 ","$ (1,046) ","$491,970 "
Créditos al consumo ,"116,092 ",(165) ,"115,927 "
Créditos a la vivienda ,"191,220 ",(383) ,"190,837 "
TOTAL CARTERA DE CRÉDITO VIGENTE ,"800,328 ","(1,594) ","798,734 "
CARTERA DE CRÉDITO VENCIDA ,,,
Créditos comerciales ,"3,841 ","1,046 ","4,887 "
Créditos al consumo ,"4,694 ",165 ,"4,859 "
Créditos a la vivienda ,"2,072 ",383 ,"2,455 "
TOTAL CARTERA DE CRÉDITO VENCIDA ,"10,607 ","1,594 ","12,201 "
CARTERA DE CRÉDITO ,"810,935 ",- ,"810,935 "
(Menos) ESTIMACION PREVENTIVA PARA RIESGOS CREDITICIOS ,"(19,670) ",(357) ,"(20,027) "


