Table
Apalancamiento (Millones de Pesos) ,1T20 ,4T20 ,1T21 ,Var. 4T20 ,Vs. 1T20 
Capital Básico ,"147,558 ","179,701 ","183,236 ",2.0% ,24.2% 
Activos Ajustados ,"1,358,673 ","1,479,495 ","1,527,496 ",3.2% ,12.4% 
Razón de Apalancamiento ,10.86% ,12.15% ,12.00% ,(15 pb) ,114 pb 


