Table
Provisiones preventivas para Riesgos Crediticios (Millones de Pesos) ,1T21 
Provisiones Preventivas Iniciales ,"20,004 "
Cargos a resultados ,"3,835 "
Cargos a utilidades retenidas ,0 
Creadas con Margen de Utilidad ,0 
Reserva de Carteras Vendidas ,0 
Otros Conceptos ,0 
"Castigos, condonaciones y quitas: ",
Créditos Comerciales ,(143) 
Créditos al Consumo ,"(3,299) "
Créditos a la Vivienda ,(734) 
Por Bienes Adjudicados ,0 
,"(4,176) "
Costo de Programas de Apoyo a ,(2) 
Deudores ,
Valorización ,8 
Eliminaciones ,0 
Provisiones Preventivas Finales ,"19,670 "


