Table
Resultado Neto ,"8,544 "
Ajustes por partidas que no implican flujo de efectivo ,
"Depreciación de Inmuebles, mobiliario y equipo ","1,311 "
Reservas Técnicas ,"11,016 "
Provisiones ,(836) 
Impuestos a la utilidad causados diferidos ,"2,678 "
"Participación en el resultado de subsidiarias no consolidadas, asociadas y negocios conjuntos ",(317) 
,"13,852 "
,"22,396 "
Actividades de operación ,
Cambio en cuentas de margen ,"7,087 "
Cambio en inversiones en valores ,"(42,297) "
Cambio en deudores por reporto ,888 
Cambio en derivados (activo) ,"19,779 "
Cambio en cartera de crédito (neto) ,(199) 
Cambio en derecho de cobro adquiridos (neto) ,88 
Cambio en cuentas por cobrar de instituciones de seguros y fianzas (neto) ,(401) 
Cambio en deudores por primas (neto) ,"(6,791) "
Cambio en reaseguradores yreafianzadores (neto) ,(251) 
Cambio en beneficios por recibir en operaciones de bursatilización ,108 
Cambio en bienes adjudicados (neto) ,1 
Cambio en otros activos operativos (neto) ,"1,420 "
Cambio en captación tradicional ,"8,819 "
Cambio en préstamos interbancarios yde otros organismos ,"(2,005) "
Cambio en acreedores por reporto ,"18,319 "
Cambio en colaterales vendidos o dados en garantía ,10 
Cambio en derivados (pasivo) ,"(19,590) "
Cambio en reservas técnicas (neto) ,"1,617 "
Cambio en reaseguradores yreafianzadores (neto) (pasivo) ,876 
Cambio en obligaciones subordinadas con características de pasivo ,"1,607 "
Cambio en otros pasivos operativos ,(108) 
Cambio en instrumentos de cobertura (de partidas cubiertas relacionadas con actividades de operación) ,"2,010 "
Pago de Impuestos a la utilidad ,"(5,635) "
Flujos netos de efectivo de actividades de operación ,"7,748 "
Actividades de inversión ,
"Cobros por disposición de inmuebles, mobiliario y equipo ",72 
"Pagos por adquisición de inmuebles, mobiliario yequipo ","(1,558) "
"Pagos por adquisición de subsidiarias, asociadas yacuerdos con control conjunto ",(9) 
Cobros de dividendos en efectivo ,"1,723 "
Flujos netos de efectivo de actividades de inversión ,228 
Actividades de financiamiento ,
Pagos de intereses de obligaciones subordinadas ,(918) 
Flujos netos de efectivo de actividades de financiamiento ,(918) 
Incremento o disminución neta de efectivo y equivalentes de efectivo ,"7,058 "
Efectos por cambios en el valor del efectivo y equivalentes de efectivo ,30 
Efectivo y equivalentes al inicio del período ,"109,306 "
Efectivo y equivalentes al final del período ,"116,394 "


