Table
Sensibilidad al Margen (Millones de pesos) ,2T20 ,3T20 ,Var vs. 2T20 
Balance en Moneda Nacional ,428 ,504 ,17.8% 
Balance en Moneda Extranjera ,592 ,785 ,32.6% 


