Table
Sensibilidad al Margen (Millones de pesos) ,1T20 ,2T20 ,Var vs. 1T20 
Balance en Moneda Nacional ,462 ,428 ,(7.4%) 
Balance en Moneda Extranjera ,570 ,592 ,3.9% 


