Table
Capital Contable a marzo 2020 (Millones de pesos) ,"6,111 "
I. Financiamientos cuyo monto individual representa más del 10% del capital contable: ,
Operaciones crediticias ,
Número de financiamientos ,6 
Monto de los financiamientos en su conjunto ,"6,637 "
% en relación al capital contable ,109% 
Operaciones en mercado de dinero ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
Operaciones overnight ,
Número de financiamientos ,1 
Monto de los financiamientos en su conjunto ,679 
% en relación al capital contable ,11% 
II. Monto máximo de financiamiento con los 3 mayores deudores y grupos de riesgo común ,"6,279 "


Table
Capital Contable a marzo 2020 (Millones de pesos) ,"2,867 "
I. Financiamientos cuyo monto individual representa más del 10% del capital contable (nivel grupo): ,
Operaciones crediticias ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
Operaciones en mercado de dinero / derivados ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
Operaciones overnight ,
Número de financiamientos ,0 
Monto de los financiamientos en su conjunto ,0 
% en relación al capital contable ,0% 
II. Monto máximo de financiamiento con los 3 mayores deudores y grupos de riesgo común ,0 


