Table
"Grupo Financiero BBVA Bancomer, S.A. de C.V. Captación y recursos totales Millones de pesos ",6M 2019 ,3M 2020 ,6M 2020 ,% Var Trim ,Var Anual 
Vista ,"885,109 ","1,009,526 ","1,016,021 ",0.6 ,14.8 
Plazo ,"265,313 ","272,634 ","273,665 ",0.4 ,3.1 
Del Público en General ,"245,670 ","246,531 ","245,544 ",(0.4) ,(0.1) 
Mercado de Dinero ,"19,643 ","26,103 ","28,121 ",7.7 ,43.2 
Titulos de crédito emitidos ,"98,579 ","101,903 ","89,927 ",(11.8) ,(8.8) 
Cuenta global de captación sin movimientos ,"3,614 ","4,577 ","4,781 ",4.5 ,32.3 
Captación Tradicional ,"1,252,615 ","1,388,640 ","1,384,394 ",(0.3) ,10.5 
Fondos de inversión ,"444,345 ","486,549 ","503,742 ",3.5 ,13.4 
Captación Global ,"1,696,960 ","1,875,189 ","1,888,136 ",0.7 ,11.3 


