Table
Millones de pesos ,PD ,Severidad 
Comercial ,1.4% ,35.7% 
Consumo ,5.1% ,79.3% 
Hipotecario ,1.9% ,17.4% 


Table
Millones de pesos ,PE 
Comercial ,0.6% 
Consumo ,4.0% 
Hipotecario ,0.3% 


