Table
Impuestos Diferidos ,,,,% ,
Millones de pesos ,6M 2019 ,3M 2020 ,6M 2020 ,Var Trim ,Var Anual 
ISR Y PTU ,,,,,
Estimación preventiva para riesgos crediticios ,"13,095 ","16,635 ","14,931 ",(10.2%) ,14.0% 
Otros ,"6,294 ","8,956 ","6,362 ",(29.0%) ,1.1% 
Total Impuestos diferidos ,"19,389 ","25,591 ","21,293 ",(16.8%) ,9.8% 


Table
,Cetes ,especiales ,,Cetes ,especiales ,"""C"" "
Fideicomiso origen ,No. de ,Importe (mdp) ,Fecha de ,No. de ,Importe (mdp) ,Fecha de 
,títulos ,,vencimiento ,títulos ,,vencimiento 
422-9 ,"128,738,261 ","16,210 ",07/07/2022 ,,,
423.9 ,"10,656,993 ","1,342 ",01/07/2027 ,"468,306 ",18 ,01/07/2027 
431-2 ,"964,363 ",111 ,04/08/2022 ,"1,800 ",,04/08/2022 
Total ,,"17,663 ",,,18 ,


